sort_type,input_type,n,run,comparisons,ptr_swaps,time_us,status
insertion,random,100,0,2786,294,5,ok
merge,random,100,0,547,672,5,ok
insertion,random,100,1,2783,291,4,ok
merge,random,100,1,542,672,4,ok
insertion,random,100,2,2836,282,4,ok
merge,random,100,2,550,672,4,ok
insertion,random,100,3,2602,288,5,ok
merge,random,100,3,553,672,4,ok
insertion,random,100,4,2441,276,4,ok
merge,random,100,4,536,672,4,ok
insertion,random,100,5,2588,291,4,ok
merge,random,100,5,543,672,4,ok
insertion,random,100,6,2579,285,4,ok
merge,random,100,6,542,672,4,ok
insertion,random,100,7,2629,288,4,ok
merge,random,100,7,540,672,5,ok
insertion,random,100,8,2646,276,4,ok
merge,random,100,8,536,672,5,ok
insertion,random,100,9,2568,285,4,ok
merge,random,100,9,539,672,5,ok
insertion,sorted,100,0,4950,0,8,ok
merge,sorted,100,0,356,672,2,ok
insertion,sorted,100,1,4950,0,8,ok
merge,sorted,100,1,356,672,1,ok
insertion,sorted,100,2,4950,0,8,ok
merge,sorted,100,2,356,672,1,ok
insertion,sorted,100,3,4950,0,7,ok
merge,sorted,100,3,356,672,1,ok
insertion,sorted,100,4,4950,0,7,ok
merge,sorted,100,4,356,672,1,ok
insertion,sorted,100,5,4950,0,7,ok
merge,sorted,100,5,356,672,1,ok
insertion,sorted,100,6,4950,0,7,ok
merge,sorted,100,6,356,672,1,ok
insertion,sorted,100,7,4950,0,8,ok
merge,sorted,100,7,356,672,5,ok
insertion,sorted,100,8,4950,0,7,ok
merge,sorted,100,8,356,672,2,ok
insertion,sorted,100,9,4950,0,7,ok
merge,sorted,100,9,356,672,2,ok
insertion,reverse,100,0,99,297,0,ok
merge,reverse,100,0,316,672,2,ok
insertion,reverse,100,1,99,297,1,ok
merge,reverse,100,1,316,672,1,ok
insertion,reverse,100,2,99,297,0,ok
merge,reverse,100,2,316,672,2,ok
insertion,reverse,100,3,99,297,0,ok
merge,reverse,100,3,316,672,2,ok
insertion,reverse,100,4,99,297,0,ok
merge,reverse,100,4,316,672,2,ok
insertion,reverse,100,5,99,297,0,ok
merge,reverse,100,5,316,672,2,ok
insertion,reverse,100,6,99,297,0,ok
merge,reverse,100,6,316,672,2,ok
insertion,reverse,100,7,99,297,0,ok
merge,reverse,100,7,316,672,2,ok
insertion,reverse,100,8,99,297,0,ok
merge,reverse,100,8,316,672,2,ok
insertion,reverse,100,9,99,297,0,ok
merge,reverse,100,9,316,672,2,ok
insertion,nearly,100,0,4949,18,8,ok
merge,nearly,100,0,358,672,2,ok
insertion,nearly,100,1,4950,21,7,ok
merge,nearly,100,1,357,672,2,ok
insertion,nearly,100,2,4950,21,8,ok
merge,nearly,100,2,358,672,2,ok
insertion,nearly,100,3,4950,21,8,ok
merge,nearly,100,3,358,672,2,ok
insertion,nearly,100,4,4950,21,8,ok
merge,nearly,100,4,358,672,2,ok
insertion,nearly,100,5,4950,21,7,ok
merge,nearly,100,5,358,672,1,ok
insertion,nearly,100,6,4950,21,7,ok
merge,nearly,100,6,359,672,1,ok
insertion,nearly,100,7,4950,15,7,ok
merge,nearly,100,7,356,672,2,ok
insertion,nearly,100,8,4950,21,7,ok
merge,nearly,100,8,361,672,1,ok
insertion,nearly,100,9,4950,21,7,ok
merge,nearly,100,9,359,672,1,ok
insertion,random,600,0,92018,1770,124,ok
merge,random,600,0,4791,5576,37,ok
insertion,random,600,1,92441,1788,124,ok
merge,random,600,1,4789,5576,35,ok
insertion,random,600,2,89143,1785,120,ok
merge,random,600,2,4779,5576,34,ok
insertion,random,600,3,94033,1776,126,ok
merge,random,600,3,4795,5576,35,ok
insertion,random,600,4,93588,1779,125,ok
merge,random,600,4,4776,5576,34,ok
insertion,random,600,5,90290,1779,122,ok
merge,random,600,5,4798,5576,34,ok
insertion,random,600,6,91102,1785,122,ok
merge,random,600,6,4789,5576,34,ok
insertion,random,600,7,86887,1776,118,ok
merge,random,600,7,4795,5576,33,ok
insertion,random,600,8,91186,1779,122,ok
merge,random,600,8,4792,5576,34,ok
insertion,random,600,9,85620,1779,116,ok
merge,random,600,9,4814,5576,34,ok
insertion,sorted,600,0,179700,0,234,ok
merge,sorted,600,0,2916,5576,14,ok
insertion,sorted,600,1,179700,0,234,ok
merge,sorted,600,1,2916,5576,13,ok
insertion,sorted,600,2,179700,0,237,ok
merge,sorted,600,2,2916,5576,13,ok
insertion,sorted,600,3,179700,0,238,ok
merge,sorted,600,3,2916,5576,12,ok
insertion,sorted,600,4,179700,0,236,ok
merge,sorted,600,4,2916,5576,12,ok
insertion,sorted,600,5,179700,0,236,ok
merge,sorted,600,5,2916,5576,13,ok
insertion,sorted,600,6,179700,0,238,ok
merge,sorted,600,6,2916,5576,12,ok
insertion,sorted,600,7,179700,0,238,ok
merge,sorted,600,7,2916,5576,12,ok
insertion,sorted,600,8,179700,0,234,ok
merge,sorted,600,8,2916,5576,13,ok
insertion,sorted,600,9,179700,0,238,ok
merge,sorted,600,9,2916,5576,12,ok
insertion,reverse,600,0,599,1797,2,ok
merge,reverse,600,0,2660,5576,14,ok
insertion,reverse,600,1,599,1797,1,ok
merge,reverse,600,1,2660,5576,12,ok
insertion,reverse,600,2,599,1797,2,ok
merge,reverse,600,2,2660,5576,12,ok
insertion,reverse,600,3,599,1797,2,ok
merge,reverse,600,3,2660,5576,12,ok
insertion,reverse,600,4,599,1797,1,ok
merge,reverse,600,4,2660,5576,12,ok
insertion,reverse,600,5,599,1797,1,ok
merge,reverse,600,5,2660,5576,13,ok
insertion,reverse,600,6,599,1797,2,ok
merge,reverse,600,6,2660,5576,12,ok
insertion,reverse,600,7,599,1797,1,ok
merge,reverse,600,7,2660,5576,13,ok
insertion,reverse,600,8,599,1797,1,ok
merge,reverse,600,8,2660,5576,13,ok
insertion,reverse,600,9,599,1797,1,ok
merge,reverse,600,9,2660,5576,13,ok
insertion,nearly,600,0,179700,120,238,ok
